date,A2c
2021-07-01,1000000.0
2021-07-02,1000933.1694019964
2021-07-06,999466.1793285062
2021-07-07,1002125.0211502531
2021-07-08,995029.2218186338
2021-07-09,1003083.7905117491
2021-07-12,1002889.1394369773
2021-07-13,1001555.9311422233
2021-07-14,1004149.295817974
2021-07-15,1002821.4009830017
2021-07-16,994531.6348644104
2021-07-19,970374.5968286819
2021-07-20,986675.8963782273
2021-07-21,996967.6586462097
2021-07-22,993240.2172666626
2021-07-23,1001823.5720869141
2021-07-26,1006644.3171583252
2021-07-27,1005074.9237104492
2021-07-28,998827.1003194886
2021-07-29,1004810.646004303
2021-07-30,998150.150124176
2021-08-02,994378.4363447266
2021-08-03,999773.0096441346
2021-08-04,991023.1067930298
2021-08-05,999725.2123533326
2021-08-06,1004859.8628622132
2021-08-09,1002228.5169874268
2021-08-10,1004417.9241262513
2021-08-11,1014021.0156751709
2021-08-12,1014793.9042287903
2021-08-13,1014178.6224714356
2021-08-16,1016485.8788076477
2021-08-17,1010119.6924062805
2021-08-18,999794.9535947876
2021-08-19,996759.7462545471
2021-08-20,1006134.937222107
2021-08-23,1011529.8016935425
2021-08-24,1012880.9188848572
2021-08-25,1019288.5303503113
2021-08-26,1009958.7116094666
2021-08-27,1018968.2122617798
2021-08-30,1013773.3833242493
2021-08-31,1014607.6951337891
2021-09-01,1011282.8327070313
2021-09-02,1014117.7380605774
2021-09-03,1008617.2269369202
2021-09-07,998313.695084198
2021-09-08,1000220.8482481079
2021-09-09,997384.2205015259
2021-09-10,991708.1737600403
2021-09-13,1002002.2930532532
2021-09-14,994325.5915151673
2021-09-15,1005203.1743246155
2021-09-16,1004253.5079809265
2021-09-17,998734.5018850403
2021-09-20,980062.1200071411
2021-09-21,980252.5779958802
2021-09-22,995339.1816755371
2021-09-23,1009182.4922987061
2021-09-24,1012523.1151968079
2021-09-27,1014100.108692749
2021-09-28,994311.4206243592
2021-09-29,997136.2507101136
2021-09-30,978961.5407186585
2021-10-01,997926.7434202271
2021-10-04,989981.4356924134
2021-10-05,1001547.1480070191
2021-10-06,1006174.182495697
2021-10-07,1013761.2087980347
2021-10-08,1014403.6171461182
2021-10-11,1008495.0131345826
2021-10-12,1005760.3551679688
2021-10-13,1002539.2754255371
2021-10-14,1013991.6281171875
2021-10-15,1018527.0104299622
2021-10-18,1016669.8346754151
2021-10-19,1023062.2608457642
2021-10-20,1028059.7901731568
2021-10-21,1029721.5623670655
2021-10-22,1036055.3405271607
2021-10-25,1032395.6281057434
2021-10-26,1029510.1458517151
2021-10-27,1033399.6054197388
2021-10-28,1039257.9697042542
2021-10-29,1042823.2127653199
2021-11-01,1046873.1740232544
2021-11-02,1047706.2204137879
2021-11-03,1049561.4799047546
2021-11-04,1048141.796722992
2021-11-05,1060833.1233907775
2021-11-08,1063849.9638906554
2021-11-09,1059697.378552063
2021-11-10,1056906.651470764
2021-11-11,1052326.171105011
2021-11-12,1058017.338883026
2021-11-15,1064728.6928449706
2021-11-16,1063949.1443296508
2021-11-17,1059040.6512876586
2021-11-18,1054516.9544874267
2021-11-19,1042843.1065908509
2021-11-22,1044995.0590826111
2021-11-23,1049586.452366455
2021-11-24,1049754.6648565368
2021-11-26,1012437.8433538513
2021-11-29,1016430.0354276734
2021-11-30,992137.6430135804
2021-12-01,984057.222176178
2021-12-02,1004974.6558042603
2021-12-03,998865.9558340149
2021-12-06,1019807.3349500733
2021-12-07,1037154.6375318604
2021-12-08,1040476.742413147
2021-12-09,1039490.674431427
2021-12-10,1047993.771999939
2021-12-13,1034195.3186689453
2021-12-14,1029166.0975004273
